Row	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
1	81304	3573	2600	1790	1792	925	1027	8053	2242	378896	297350	3117	10668	1648	6840	13370	5141	1829	2608	767038	260402	9478	10792	6636	7533	6285	6396	15698	17990	848605
2	797	1014	42995	15928	111322	65526	60917	56885	1618	2702	8644	5781	223071	16198	47897	19919	17546	840022	7301	4822	12010	15654	109549	29856	86499	51932	60919	691277	12621	7307
3	5463	47290	41472	18335	14120	66072	68738	5492	11236	2779	16770	160660	225057	19070	55452	23896	41133	8897	342898	2767	20354	131050	117519	30028	36274	94015	96109	9514	199162	4948
4	3023	6834	13702	18395	22318	46408	90662	5923	32131	1709	7246	53873	53861	39956	64178	23437	34091	16448	761064	7297	7353	65792	46601	32588	51863	63058	130838	14092	493297	11808
5	2160	5319	12071	4068	18521	63750	22476	5443	38744	1733	15149	62486	78190	3048	130070	28915	12524	6075	712841	10801	15014	74077	51810	13059	74644	92247	42456	12775	623533	13558
6	5060	5423	12545	6099	57088	77617	35582	41054	39978	1733	9887	71629	95092	10002	89926	38946	17573	26906	741010	10801	6035	98970	81821	10136	105543	110377	57282	50544	573203	13558
7	3319	3673	20635	14811	63461	71788	55248	40474	69427	14887	34842	17123	37028	13325	173407	27030	11353	27724	955531	365617	8364	7922	41220	13361	149513	74287	71431	76796	699089	221893
8	129978	1679	28839	44840	45969	66742	58785	54462	71805	12800	580696	739	75781	87498	163284	33095	24368	36069	811084	378771	588607	4843	75912	105832	168717	121065	88534	71076	686465	240163
9	1862	1217	1658	4449	9177	3690	5489	1564	2627	1599	1120	955	826	718	28602	3900	2025	5839	7444	15271	5057	3215	9325	2923	3464	5927	7934	14213	11757	12830
10	2195	28878	48712	42666	65406	48015	46072	49291	9124	1462	3841	73606	94345	132396	24219	16593	30063	718458	314752	6513	10499	85117	107234	127224	73185	61823	69508	720444	211653	9529
11	13957	47728	28005	14470	80206	49289	52290	44906	10757	1512	8927	245670	141876	10630	24850	20380	34071	758910	294002	4772	8974	130508	110630	18048	82308	57651	71393	588374	234322	6956
12	1359	9492	51606	12671	15477	56824	50543	4230	8600	2698	1069	44800	215675	12746	45891	19885	26407	5990	350276	8794	4346	45474	146555	20060	36076	79860	87298	10095	201248	6062
13	2723	6904	11260	19449	20571	45415	63920	8703	13940	4942	4068	63310	48308	33146	53881	19287	24739	6053	676392	2392	13185	57450	56324	26042	68684	48889	106520	9525	517205	15928
14	2167	4747	13544	6767	19310	50916	17674	6324	19922	11773	3663	62423	60225	1771	101147	26462	9791	3177	695022	38300	7195	63265	64998	6690	80992	79293	29974	12176	519335	57176
15	4554	2030	12025	5447	36638	56809	24422	28895	20423	9873	8360	7640	77511	6899	62961	27316	10771	21363	720685	28816	5032	13757	81665	11155	109933	93375	43990	42889	428355	67738
16	230422	3000	10873	19153	50052	50110	35453	26135	49803	10480	478859	1021	34242	8059	111633	22091	9833	41259	663258	34305	443239	5398	32158	17849	116923	58106	48363	49271	555440	71879
17	2334	2707	2193	3559	5498	3056	3674	3062	3600	1732	5801	5079	833	2878	5614	7052	12851	11917	4682	3034	3501	3835	12282	6496	104330	3747	3701	5936	5775	5934
18	1531	24388	6658	66578	57938	33320	27166	55167	2296	1470	3149	31807	23431	108155	20177	13668	43540	838592	5560	2184	9635	44852	14268	102035	35165	46660	47956	578368	8059	12718
19	1551	31186	30569	54647	58033	40259	37252	41094	9543	7919	6289	72534	116801	145285	25503	17941	40381	681917	280671	7078	7522	75902	111158	129895	64662	45278	57518	619734	206289	4090
20	3316	52746	46751	13037	74441	45213	35850	38581	10434	1544	1770	255646	133159	10801	31580	41914	17798	689426	243280	31042	7803	212193	120221	15983	98174	53610	54507	630505	210787	8874
21	2002	8405	53243	17388	20852	56424	45217	5406	7745	4987	7239	65432	223661	12483	40412	19633	20260	10276	285236	10851	8614	64978	173794	17232	38543	55524	60786	16249	236448	4803
22	2789	7621	14574	12310	17414	45493	60823	5756	18105	3397	3457	81873	55710	23980	57520	25243	25339	10011	565688	276	9009	57604	53971	22864	55979	45142	68374	11153	473094	3519
23	2111	6000	11668	4662	19685	60224	11550	3635	14721	68794	8312	94665	68299	10380	73493	23230	17648	10155	503738	125840	10918	57142	85348	18427	90969	62965	20873	22490	487050	170826
24	2327	4981	12447	3607	44620	62825	17641	18222	17075	39005	4613	19143	96817	2317	68158	35137	21322	20598	575892	156670	11074	7904	82140	10476	102269	90215	28990	39000	536436	266197
25	297631	2156	4129	1665	3220	1537	2019	211	4086	42676	594103	2898	4543	4067	22803	4778	7520	1921	514	164819	351520	4146	14550	4947	4870	4378	4499	6447	9085	217332
