Row	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	297350	3117	10668	1648	6840	13370	5141	1829	2608	767038	5259	0	0	0	0	0	0	0	0	24730
2	8644	5781	223071	16198	47897	19919	17546	840022	7301	4822	0	0	2838	992	7522	4167	3989	3510	0	0
3	16770	160660	225057	19070	55452	23896	41133	8897	342898	2767	0	2476	2525	1209	989	4390	4466	286	760	0
4	7246	53873	53861	39956	64178	23437	34091	16448	761064	7297	0	935	839	1041	1401	3020	5779	314	1949	0
5	15149	62486	78190	3048	130070	28915	12524	6075	712841	10801	0	396	853	341	1254	4156	1491	377	2350	0
6	9887	71629	95092	10002	89926	38946	17573	26906	741010	10801	0	421	807	410	3788	5017	2246	2717	2421	0
7	34842	17123	37028	13325	173407	27030	11353	27724	955531	365617	0	0	1313	619	4494	4723	3557	2632	4198	997
8	580696	739	75781	87498	163284	33095	24368	36069	811084	378771	8454	0	1853	2971	3162	4346	3920	3542	4406	777
9	1120	955	826	718	28602	3900	2025	5839	7444	15271	0	0	0	0	0	0	0	0	0	0
10	3841	73606	94345	132396	24219	16593	30063	718458	314752	6513	0	1798	3152	2754	4221	3124	2987	3356	594	0
11	8927	245670	141876	10630	24850	20380	34071	758910	294002	4772	0	2818	1864	1079	5099	3107	3453	3034	712	0
12	1069	44800	215675	12746	45891	19885	26407	5990	350276	8794	0	697	3055	853	1008	3530	3411	249	533	0
13	4068	63310	48308	33146	53881	19287	24739	6053	676392	2392	0	493	691	1075	1321	2956	4401	465	853	0
14	3663	62423	60225	1771	101147	26462	9791	3177	695022	38300	0	257	930	473	1252	3234	1190	355	1298	743
15	8360	7640	77511	6899	62961	27316	10771	21363	720685	28816	0	0	834	322	2471	3659	1583	1874	1310	663
16	478859	1021	34242	8059	111633	22091	9833	41259	663258	34305	14825	0	738	785	3172	3291	2263	1625	3317	673
17	5801	5079	833	2878	5614	7052	12851	11917	4682	3034	0	0	0	0	0	0	0	0	0	0
18	3149	31807	23431	108155	20177	13668	43540	838592	5560	2184	0	1519	494	4402	3947	2190	1732	3499	0	0
19	6289	72534	116801	145285	25503	17941	40381	681917	280671	7078	0	2178	1942	3550	3831	2832	2602	2568	609	0
20	1770	255646	133159	10801	31580	41914	17798	689426	243280	31042	0	3362	3098	941	4881	2972	2307	2470	594	0
21	7239	65432	223661	12483	40412	19633	20260	10276	285236	10851	0	822	3354	1225	1497	3694	2881	283	492	0
22	3457	81873	55710	23980	57520	25243	25339	10011	565688	276	0	467	962	908	1150	3005	3897	462	1178	0
23	8312	94665	68299	10380	73493	23230	17648	10155	503738	125840	0	416	826	293	1332	4098	743	273	877	4372
24	4613	19143	96817	2317	68158	35137	21322	20598	575892	156670	0	0	803	247	3015	4028	1208	1180	1146	2610
25	594103	2898	4543	4067	22803	4778	7520	1921	514	164819	19857	0	0	0	0	0	0	0	0	2791
